TAWSS,Points:0,Points:1,Points:2
4.41040505263158,0.177384,-0.185459,-0.328234
4.56817421052632,0.177252,-0.185468,-0.328348
4.69340331578947,0.177267,-0.185407,-0.328545
4.65758105263158,0.177436,-0.185332,-0.328615
4.469833,0.177585,-0.185322,-0.328471
4.00877089473684,0.163726,-0.207595,-0.0327158
4.0197427368421,0.1638,-0.207757,-0.0327492
3.90674805263158,0.163939,-0.207773,-0.0328079
3.88589210526316,0.16401,-0.207645,-0.0328354
3.93994521052632,0.16396,-0.207495,-0.0328092
3.95408210526316,0.163816,-0.207461,-0.0327483
1.07784087894737,0.203417,-0.227782,-0.215441
1.21600491578947,0.202612,-0.228224,-0.216338
1.38689940526316,0.202783,-0.227988,-0.217524
1.43563315263158,0.203732,-0.227283,-0.217877
1.36680881052632,0.204511,-0.226733,-0.217025
1.17558814736842,0.204368,-0.226996,-0.215775
1.38537662105263,0.195076,-0.198098,-0.284314
0.9460796,0.195699,-0.199017,-0.284361
0.791522152631579,0.19607,-0.199463,-0.283413
1.16048911052632,0.195812,-0.198965,-0.28236
1.64675079473684,0.195393,-0.19795,-0.282339
1.57998388947368,0.195029,-0.19753,-0.283343
10.0273942105263,0.179055,-0.185816,-0.332516
9.82721073684211,0.178969,-0.185775,-0.332584
10.3785064736842,0.17893,-0.185656,-0.332579
10.3663923684211,0.178979,-0.185579,-0.332508
10.3225120526316,0.179065,-0.185619,-0.33244
10.5545253684211,0.179102,-0.185738,-0.332443
3.44255896842105,0.159483,-0.225802,-0.0348665
3.56103625263158,0.158809,-0.226149,-0.0346246
3.30080968421053,0.158158,-0.225952,-0.0350329
2.68860889473684,0.158239,-0.225531,-0.035667
2.53803615789474,0.158865,-0.225277,-0.0358703
3.01605315789474,0.159458,-0.22535,-0.0354782
14.2809277368421,0.179057,-0.186011,-0.332604
12.5491715789474,0.179014,-0.18599,-0.332638
11.0093136315789,0.17897,-0.185969,-0.332672
9.53222105263158,0.178925,-0.185851,-0.332661
