OSI,Points:0,Points:1,Points:2
0.0210827721394947,0.159483,-0.225802,-0.0348665
0.0184254491112572,0.158809,-0.226149,-0.0346246
0.017733337571213,0.158158,-0.225952,-0.0350329
0.0216096796382368,0.158239,-0.225531,-0.035667
0.0279658911690801,0.158865,-0.225277,-0.0358703
0.0255148401402976,0.159458,-0.22535,-0.0354782
0.0463163058198974,0.179057,-0.186011,-0.332604
0.0324220199493222,0.179014,-0.18599,-0.332638
0.0191674941840907,0.17897,-0.185969,-0.332672
0.0189435387289398,0.178925,-0.185851,-0.332661
0.0171661840436502,0.179099,-0.185935,-0.332525
0.0301807244546027,0.179078,-0.185973,-0.332565
0.0274585033368972,0.179211,-0.185935,-0.332421
0.0431400103483789,0.179188,-0.185975,-0.332459
0.0297703707837446,0.179143,-0.185955,-0.332492
0.0124927764110643,0.179191,-0.185777,-0.332377
0.0141142278673408,0.179233,-0.185896,-0.332384
0.129425390442207,0.178417,-0.185309,-0.327378
0.11964691503027,0.178315,-0.185347,-0.327414
0.102559536833003,0.178275,-0.185323,-0.327546
0.0982630824762248,0.178369,-0.185245,-0.327646
0.112249273169068,0.178497,-0.1852,-0.32758
0.12498413295975,0.178506,-0.18524,-0.327444
0.0755216186576714,0.164125,-0.20713,-0.0328794
0.0795244383663942,0.164245,-0.207205,-0.0329394
0.0821219197690398,0.164332,-0.207115,-0.0329826
0.0803280237459871,0.164288,-0.206984,-0.0329572
0.0743390705554378,0.164151,-0.206987,-0.0328897
0.0802266453280258,0.204552,-0.195808,-0.246661
0.0881275381634323,0.204232,-0.195919,-0.24668
0.0932582713763597,0.204086,-0.196162,-0.246398
0.0847092923718669,0.204372,-0.196251,-0.246118
0.0740897983563919,0.204737,-0.196081,-0.246193
0.0738007094501219,0.204771,-0.195882,-0.246454
0.0616367205969742,0.214931,-0.196576,-0.264231
0.0581488606644053,0.215053,-0.196989,-0.263788
0.0606288195497636,0.215056,-0.197576,-0.263916
0.0625810563154498,0.214875,-0.197784,-0.264482
0.0632281668899171,0.214778,-0.197377,-0.26496
0.0650518140503867,0.214836,-0.196756,-0.264837
0.12323612119197,0.16156,-0.218617,-0.0393748
0.166852320579713,0.161588,-0.218039,-0.0395332
0.218519317173968,0.162098,-0.217713,-0.0394745
0.191633174955908,0.162579,-0.217937,-0.0391652
0.145912454414934,0.162518,-0.218516,-0.0388975
0.123348223277236,0.162009,-0.21887,-0.0390484
0.122122078760866,0.161799,-0.218758,-0.039264
0.330297595911093,0.179765,-0.184751,-0.326565
0.287871613763979,0.179693,-0.184738,-0.326736
0.242851974653495,0.179771,-0.184632,-0.32686
0.232135721796624,0.179944,-0.184527,-0.326804
0.254738096704405,0.180007,-0.184554,-0.32662
0.309277277563327,0.179906,-0.184672,-0.326505
0.0284066408609135,0.167599,-0.203488,-0.0331783
0.0294730958687692,0.167771,-0.203695,-0.0332136
0.0260981726221152,0.168001,-0.20366,-0.033175
0.0226195306183302,0.168057,-0.203466,-0.0330861
0.0212680140459602,0.167915,-0.20328,-0.0330339
0.023079952448063,0.167686,-0.203268,-0.0330874
