OSI,Points:0,Points:1,Points:2
0.169211271536144,0.257007,-0.211692,-0.0528996
0.192079266908925,0.256747,-0.211565,-0.0533496
0.188019647894306,0.256246,-0.2114,-0.053331
0.170894932793887,0.255977,-0.211351,-0.0528563
0.159587514124765,0.256242,-0.211432,-0.0523732
0.0928565590657781,0.280444,-0.233249,-0.482692
0.105767057294813,0.280309,-0.232563,-0.48269
0.100114959876636,0.279412,-0.232014,-0.481516
0.108257454127607,0.278903,-0.23313,-0.480513
0.0895551424755255,0.279101,-0.234687,-0.481122
0.063114106069613,0.279757,-0.234854,-0.482396
0.07907702742702,0.280106,-0.23435,-0.482678
0.086353946256377,0.280456,-0.233846,-0.482961
0.279693925398319,0.249192,-0.213699,-0.70891
0.238510032618939,0.248178,-0.214282,-0.709473
0.262605961985177,0.24759,-0.215124,-0.70877
0.296416584671547,0.247977,-0.215241,-0.707673
0.290030992462505,0.248769,-0.214636,-0.707224
0.301996293987972,0.249395,-0.213935,-0.707757
0.275931322761147,0.289418,-0.218777,-0.733024
0.281872715796842,0.28929,-0.218912,-0.732572
0.300897535093319,0.289388,-0.218642,-0.732153
0.300553134556776,0.289668,-0.218188,-0.732172
0.291228848908913,0.289823,-0.218008,-0.732679
0.286322710775262,0.289671,-0.218326,-0.733112
0.476627349004298,0.223034,-0.212157,-0.0100544
0.411765085436571,0.222703,-0.212509,-0.010413
0.382627588621682,0.222704,-0.212429,-0.0109974
0.433932416238301,0.223055,-0.212014,-0.0112398
0.463503917693127,0.223442,-0.211641,-0.0108931
0.443344929007299,0.223423,-0.211704,-0.010292
0.142684458382773,0.232278,-0.210665,-0.0305101
0.14495903304515,0.23258,-0.210623,-0.0300495
0.151748634916618,0.232325,-0.21056,-0.0295355
0.155321418402074,0.231786,-0.210534,-0.0295159
0.147261091972249,0.231513,-0.210532,-0.0299856
0.141609184793364,0.23175,-0.2106,-0.0304658
0.0640093111146436,0.293337,-0.220868,-0.743708
0.0649907095410622,0.293688,-0.221026,-0.744167
0.0832185650886406,0.293756,-0.221323,-0.744217
0.0765087349003329,0.293824,-0.22162,-0.744267
0.0542573762041601,0.293704,-0.221845,-0.744073
0.0457767977640768,0.293583,-0.222071,-0.743879
0.0537881457891428,0.29317,-0.221874,-0.74346
0.0655532223544719,0.29306,-0.221265,-0.743388
0.0831188411978788,0.258746,-0.2933,-0.199563
0.139957629896151,0.259056,-0.293298,-0.197542
0.259724323957912,0.257526,-0.293424,-0.196141
0.151169080748972,0.255379,-0.293336,-0.196935
0.0911409502982882,0.255134,-0.293338,-0.199204
0.0747797858478788,0.256971,-0.293428,-0.200431
0.233129675554495,0.253316,-0.219386,-0.0474281
0.245392607181917,0.253465,-0.219392,-0.0481696
0.230918529464064,0.254136,-0.219545,-0.0484385
0.228757495174907,0.25471,-0.219607,-0.0479654
0.236727926033644,0.254591,-0.219633,-0.0472001
0.22841197361349,0.253868,-0.219565,-0.0469317
