TAWSS,Points:0,Points:1,Points:2
1.97668405789474,0.256246,-0.2114,-0.053331
2.26323285263158,0.255977,-0.211351,-0.0528563
2.25352982631579,0.256242,-0.211432,-0.0523732
2.51291702105263,0.280444,-0.233249,-0.482692
1.7093358,0.280309,-0.232563,-0.48269
1.65910147368421,0.279412,-0.232014,-0.481516
1.50353466842105,0.278903,-0.23313,-0.480513
1.61445462105263,0.279101,-0.234687,-0.481122
1.95742099473684,0.279757,-0.234854,-0.482396
2.70149273684211,0.280106,-0.23435,-0.482678
3.47813810526316,0.280456,-0.233846,-0.482961
0.501316436842105,0.249192,-0.213699,-0.70891
0.551172989473684,0.248178,-0.214282,-0.709473
0.491598473684211,0.24759,-0.215124,-0.70877
0.487061173684211,0.247977,-0.215241,-0.707673
0.530577757894737,0.248769,-0.214636,-0.707224
0.489449031578947,0.249395,-0.213935,-0.707757
0.745915121052632,0.289418,-0.218777,-0.733024
0.736162689473684,0.28929,-0.218912,-0.732572
0.702633968421053,0.289388,-0.218642,-0.732153
0.70513947368421,0.289668,-0.218188,-0.732172
0.710516205263158,0.289823,-0.218008,-0.732679
0.715886205263158,0.289671,-0.218326,-0.733112
1.70747173684211,0.223034,-0.212157,-0.0100544
1.59253963157895,0.222703,-0.212509,-0.010413
1.59692526315789,0.222704,-0.212429,-0.0109974
1.71896557894737,0.223055,-0.212014,-0.0112398
1.82929457894737,0.223442,-0.211641,-0.0108931
1.83314847368421,0.223423,-0.211704,-0.010292
3.4704107368421,0.232278,-0.210665,-0.0305101
3.38374694736842,0.23258,-0.210623,-0.0300495
3.53780763157895,0.232325,-0.21056,-0.0295355
3.64183347368421,0.231786,-0.210534,-0.0295159
3.8656462631579,0.231513,-0.210532,-0.0299856
3.86782647368421,0.23175,-0.2106,-0.0304658
2.63888580526316,0.293337,-0.220868,-0.743708
3.1319456631579,0.293688,-0.221026,-0.744167
3.74402294736842,0.293756,-0.221323,-0.744217
4.57835742105263,0.293824,-0.22162,-0.744267
3.9235397368421,0.293704,-0.221845,-0.744073
2.82871443157895,0.293583,-0.222071,-0.743879
2.02964639473684,0.29317,-0.221874,-0.74346
1.98378192631579,0.29306,-0.221265,-0.743388
1.00354974210526,0.258746,-0.2933,-0.199563
0.679666552631579,0.259056,-0.293298,-0.197542
0.480040478947368,0.257526,-0.293424,-0.196141
0.564867773684211,0.255379,-0.293336,-0.196935
0.817163289473684,0.255134,-0.293338,-0.199204
1.03027757368421,0.256971,-0.293428,-0.200431
2.0621376,0.253316,-0.219386,-0.0474281
2.09223852631579,0.253465,-0.219392,-0.0481696
2.20767895789474,0.254136,-0.219545,-0.0484385
2.22178108421053,0.25471,-0.219607,-0.0479654
2.16555490526316,0.254591,-0.219633,-0.0472001
2.11971819473684,0.253868,-0.219565,-0.0469317
0.717220857894737,0.251723,-0.223308,-0.699664
0.798487584210526,0.251941,-0.223159,-0.698466
0.836678084210526,0.251393,-0.222288,-0.697871
0.807946621052632,0.250746,-0.221461,-0.698431
0.518890089473684,0.298306,-0.226038,-0.718898
0.479547584210526,0.298579,-0.225096,-0.719247
0.531210710526316,0.298458,-0.224237,-0.718637
0.574149536842105,0.298117,-0.224336,-0.717639
0.582303847368421,0.297921,-0.225313,-0.717258
0.57738954,0.297989,-0.226157,-0.717907
0.469008605263158,0.262849,-0.222549,-0.507172
0.494744247368421,0.263091,-0.222183,-0.508842
0.530558921052632,0.2627,-0.223361,-0.510041
0.517649242105263,0.262166,-0.224978,-0.509573
0.482224089473684,0.261833,-0.225336,-0.507893
0.469631636842105,0.262125,-0.224084,-0.506691
2.46587442105263,0.226676,-0.209198,-0.0103431
2.53192126315789,0.226436,-0.209224,-0.00977063
2.67982310526316,0.225932,-0.209621,-0.0096947
2.74380247368421,0.225678,-0.209898,-0.010167
2.55822389473684,0.22589,-0.209837,-0.0106989
2.43855194736842,0.226385,-0.209533,-0.0107991
2.328759,0.229057,-0.20334,-0.0396561
2.20745294736842,0.229297,-0.203457,-0.0401476
2.21788252631579,0.229252,-0.203971,-0.0403608
2.17800110526316,0.229012,-0.204386,-0.0400698
2.20263668421053,0.228771,-0.204281,-0.0395771
2.36282,0.228771,-0.203748,-0.0393766
1.31596792631579,0.300148,-0.224597,-0.733515
1.27311238421053,0.300223,-0.224702,-0.733949
1.19525778947368,0.300398,-0.224396,-0.734242
1.13911457368421,0.300496,-0.223944,-0.734109
1.17834771578947,0.300383,-0.223804,-0.733654
1.27700019473684,0.30021,-0.224151,-0.733353
1.03036151052632,0.245014,-0.283894,-0.217103
1.24207378421053,0.24507,-0.282382,-0.218702
1.29061914210526,0.245267,-0.283053,-0.220803
1.27275691578947,0.245678,-0.285172,-0.221262
1.36132112105263,0.246058,-0.286588,-0.219612
1.17093674736842,0.245591,-0.285981,-0.217553
3.05401536842105,0.251478,-0.213612,-0.0561871
